任务ID,优先级,任务状态,问题类型,供应商SKU,Wayfair Listing,产品名,SKU价值分层,促销准入,触发原因,建议动作,执行前检查,复盘指标,证据来源,证据链接,排序分
TASK-T2398P160408-LISTING-001,P2,待执行,Listing,T2398P160408,5T-1600-800,,N,库存对照行不单独决策,Required Tags 覆盖率 75.0% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P160409-LISTING-001,P2,待执行,Listing,T2398P160409,5T-1830-900,,C,库存对照行不单独决策,Required Tags 覆盖率 75.0% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P160410-LISTING-001,P2,待执行,Listing,T2398P160410,5T-1980-1200,,C,库存对照行不单独决策,Required Tags 覆盖率 75.0% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P160411-LISTING-001,P2,待执行,Listing,T2398P160411,5T-1830-1200,,C,库存对照行不单独决策,Required Tags 覆盖率 75.0% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P171197-LISTING-001,P2,待执行,Listing,T2398P171197,MFC-D2-B,2抽鹅颈活动柜黑色,C,库存对照行不单独决策,Required Tags 覆盖率 78.6% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P171203-LISTING-001,P2,待执行,Listing,T2398P171203,MFC-D2-W,2抽鹅颈活动柜白色,C,库存对照行不单独决策,Required Tags 覆盖率 78.6% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P205947-LISTING-001,P2,待执行,Listing,T2398P205947,9D-locker,9门书包柜,N,新品不进大促,Required Tags 覆盖率 50.0% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P211225-LISTING-001,P2,待执行,Listing,T2398P211225,3T-B,3层置物架-黑,N,库存对照行不单独决策,Required Tags 覆盖率 72.2% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P211228-LISTING-001,P2,待执行,Listing,T2398P211228,3T-W,3层置物架-白,C,库存对照行不单独决策,Required Tags 覆盖率 72.2% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P222836-INVENTORY-001,P2,待执行,库存,T2398P222836,TOOL-A07,套色压型-左四抽右单门工具推车,,,可用库存仅 1；综合经营优先级为 P2，按店铺价值降级处理,促销、加预算、补货前先人工确认库存映射和可售数量。,打开库存映射对照工具，确认仓库 SKU、Wayfair SKU、可用量和在途量。,下次复盘看：是否仍出现缺货 SKU 投广告或进入促销。,库存映射对照工具,./Wayfair_库存映射对照工具_20260604.html,42.0
TASK-T2398P251437-LISTING-001,P2,待执行,Listing,T2398P251437,W9D-G-locker,9门更衣柜灰色,N,新品不进大促,Required Tags 覆盖率 53.3% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P252494-LISTING-001,P2,待执行,Listing,T2398P252494,6T-2095-122,,C,库存对照行不单独决策,Required Tags 覆盖率 75.0% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P272106-LISTING-001,P2,待执行,Listing,T2398P272106,LFC-2B-680,680宽二抽-黑,C,库存对照行不单独决策,客户反馈出现 Damage / Missing / Defect 类问题；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P306288-LISTING-001,P2,待执行,Listing,T2398P306288,5T-wangge,网格货架,N,库存对照行不单独决策,Required Tags 覆盖率 75.0% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P313255-LISTING-001,P2,待执行,Listing,T2398P313255,5T-dong-198-120,1980-1200-457-洞洞板,N,库存对照行不单独决策,Required Tags 覆盖率 75.0% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P313256-LISTING-001,P2,待执行,Listing,T2398P313256,5T-dong-183-120,1830-1200-600-洞洞板,N,库存对照行不单独决策,Required Tags 覆盖率 75.0% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P350187-LISTING-001,P2,待执行,Listing,T2398P350187,PT01-WH,白色压型对开门餐厨柜,N,新品不进大促,Required Tags 覆盖率 79.2% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P350188-INVENTORY-001,P2,待执行,库存,T2398P350188,PT02-WH,白色压型上玻下铁中空对开门储物柜餐厨柜,,,库存映射置信度为 低；综合经营优先级为 P2，按店铺价值降级处理,促销、加预算、补货前先人工确认库存映射和可售数量。,打开库存映射对照工具，确认仓库 SKU、Wayfair SKU、可用量和在途量。,下次复盘看：是否仍出现缺货 SKU 投广告或进入促销。,库存映射对照工具,./Wayfair_库存映射对照工具_20260604.html,42.0
TASK-T2398P350188-INVENTORY-001-02,P2,待执行,库存,T2398P350188,PT02-WH,白色压型上玻下铁中空对开门储物柜餐厨柜,,,库存映射置信度为 低；综合经营优先级为 P2，按店铺价值降级处理,促销、加预算、补货前先人工确认库存映射和可售数量。,打开库存映射对照工具，确认仓库 SKU、Wayfair SKU、可用量和在途量。,下次复盘看：是否仍出现缺货 SKU 投广告或进入促销。,库存映射对照工具,./Wayfair_库存映射对照工具_20260604.html,42.0
TASK-T2398P350188-INVENTORY-001-03,P2,待执行,库存,T2398P350188,PT02-WH,白色压型上玻下铁中空对开门储物柜餐厨柜,,,库存映射置信度为 低；综合经营优先级为 P2，按店铺价值降级处理,促销、加预算、补货前先人工确认库存映射和可售数量。,打开库存映射对照工具，确认仓库 SKU、Wayfair SKU、可用量和在途量。,下次复盘看：是否仍出现缺货 SKU 投广告或进入促销。,库存映射对照工具,./Wayfair_库存映射对照工具_20260604.html,42.0
TASK-T2398P350188-INVENTORY-001-04,P2,待执行,库存,T2398P350188,PT02-WH,白色压型上玻下铁中空对开门储物柜餐厨柜,,,库存映射置信度为 低；综合经营优先级为 P2，按店铺价值降级处理,促销、加预算、补货前先人工确认库存映射和可售数量。,打开库存映射对照工具，确认仓库 SKU、Wayfair SKU、可用量和在途量。,下次复盘看：是否仍出现缺货 SKU 投广告或进入促销。,库存映射对照工具,./Wayfair_库存映射对照工具_20260604.html,42.0
TASK-T2398P350188-INVENTORY-001-05,P2,待执行,库存,T2398P350188,PT02-WH,白色压型上玻下铁中空对开门储物柜餐厨柜,,,库存映射置信度为 低；综合经营优先级为 P2，按店铺价值降级处理,促销、加预算、补货前先人工确认库存映射和可售数量。,打开库存映射对照工具，确认仓库 SKU、Wayfair SKU、可用量和在途量。,下次复盘看：是否仍出现缺货 SKU 投广告或进入促销。,库存映射对照工具,./Wayfair_库存映射对照工具_20260604.html,42.0
TASK-T2398P350188-INVENTORY-001-06,P2,待执行,库存,T2398P350188,PT02-WH,白色压型上玻下铁中空对开门储物柜餐厨柜,,,库存映射置信度为 低；综合经营优先级为 P2，按店铺价值降级处理,促销、加预算、补货前先人工确认库存映射和可售数量。,打开库存映射对照工具，确认仓库 SKU、Wayfair SKU、可用量和在途量。,下次复盘看：是否仍出现缺货 SKU 投广告或进入促销。,库存映射对照工具,./Wayfair_库存映射对照工具_20260604.html,42.0
TASK-T2398P350189-LISTING-001,P2,待执行,Listing,T2398P350189,PT03-WH,白色压型通对玻储物柜餐厨柜,N,新品不进大促,Required Tags 覆盖率 79.2% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P350190-LISTING-001,P2,待执行,Listing,T2398P350190,PT04-WH,白色金属上对开下2抽压型储物柜,N,新品不进大促,Required Tags 覆盖率 79.2% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P354183-LISTING-001,P2,待执行,Listing,T2398P354183,CT-01,"火烧云钢木结合
半升降咖啡桌",N,新品不进大促,Required Tags 覆盖率 77.8% 低于 80%；综合经营优先级为 P2，按店铺价值降级处理,先修 Listing 承接：补必填 TAG、补图片/说明、复盘差评和客诉原因。,打开 SKU 分层与促销准入清单，查看 TAG、图片、客户反馈和促销准入。,下次复盘看：Unique Visits、CVR、Review Count、Feedback Damage 数。,Detailed Listing Health / Customer Feedback,./Wayfair_6月SKU分层与促销准入清单_20260604.html,42.0
TASK-T2398P403867-INVENTORY-001,P2,待执行,库存,T2398P403867,Bed-78-1,"黑色金属带床垫带床头板带储物袋折叠床L190*W78*H33cm
75*31*17",,,库存映射置信度为 低；综合经营优先级为 P2，按店铺价值降级处理,促销、加预算、补货前先人工确认库存映射和可售数量。,打开库存映射对照工具，确认仓库 SKU、Wayfair SKU、可用量和在途量。,下次复盘看：是否仍出现缺货 SKU 投广告或进入促销。,库存映射对照工具,./Wayfair_库存映射对照工具_20260604.html,42.0
TASK-T2398P403867-INVENTORY-001-02,P2,待执行,库存,T2398P403867,Bed-78-1,"黑色金属带床垫带床头板带储物袋折叠床L190*W78*H33cm
75*31*17",,,库存映射置信度为 低；综合经营优先级为 P2，按店铺价值降级处理,促销、加预算、补货前先人工确认库存映射和可售数量。,打开库存映射对照工具，确认仓库 SKU、Wayfair SKU、可用量和在途量。,下次复盘看：是否仍出现缺货 SKU 投广告或进入促销。,库存映射对照工具,./Wayfair_库存映射对照工具_20260604.html,42.0
TASK-T2398P403869-INVENTORY-001,P2,待执行,库存,T2398P403869,Bed-116-1,"黑色金属带床头板折叠床L190*W116*H33cm
75*46*17",,,库存映射置信度为 低；综合经营优先级为 P2，按店铺价值降级处理,促销、加预算、补货前先人工确认库存映射和可售数量。,打开库存映射对照工具，确认仓库 SKU、Wayfair SKU、可用量和在途量。,下次复盘看：是否仍出现缺货 SKU 投广告或进入促销。,库存映射对照工具,./Wayfair_库存映射对照工具_20260604.html,42.0
TASK-T2398P403869-INVENTORY-001-02,P2,待执行,库存,T2398P403869,Bed-116-1,"黑色金属带床头板折叠床L190*W116*H33cm
75*46*17",,,库存映射置信度为 低；综合经营优先级为 P2，按店铺价值降级处理,促销、加预算、补货前先人工确认库存映射和可售数量。,打开库存映射对照工具，确认仓库 SKU、Wayfair SKU、可用量和在途量。,下次复盘看：是否仍出现缺货 SKU 投广告或进入促销。,库存映射对照工具,./Wayfair_库存映射对照工具_20260604.html,42.0
TASK-T2398P403871-INVENTORY-001,P2,待执行,库存,T2398P403871,Bed-96-1,"黑色金属带床头板折叠床L190*W96*H33cm
75*38*17",,,库存映射置信度为 低；综合经营优先级为 P2，按店铺价值降级处理,促销、加预算、补货前先人工确认库存映射和可售数量。,打开库存映射对照工具，确认仓库 SKU、Wayfair SKU、可用量和在途量。,下次复盘看：是否仍出现缺货 SKU 投广告或进入促销。,库存映射对照工具,./Wayfair_库存映射对照工具_20260604.html,42.0
TASK-T2398P413023-INVENTORY-001,P2,待执行,库存,T2398P413023,TOOL-B08,黑色金属3层层板对开门工具柜,,,可用库存仅 0；综合经营优先级为 P2，按店铺价值降级处理,促销、加预算、补货前先人工确认库存映射和可售数量。,打开库存映射对照工具，确认仓库 SKU、Wayfair SKU、可用量和在途量。,下次复盘看：是否仍出现缺货 SKU 投广告或进入促销。,库存映射对照工具,./Wayfair_库存映射对照工具_20260604.html,42.0
TASK-T2398P413028-INVENTORY-001,P2,待执行,库存,T2398P413028,Pantry-09,白色金属上下对开中空下一抽K字储物柜,,,可用库存仅 0；综合经营优先级为 P2，按店铺价值降级处理,促销、加预算、补货前先人工确认库存映射和可售数量。,打开库存映射对照工具，确认仓库 SKU、Wayfair SKU、可用量和在途量。,下次复盘看：是否仍出现缺货 SKU 投广告或进入促销。,库存映射对照工具,./Wayfair_库存映射对照工具_20260604.html,42.0
TASK-T2398P463322-INVENTORY-001,P2,待执行,库存,T2398P463322,,黑色深457带洞洞板五层置物架,,,可用库存仅 1；综合经营优先级为 P2，按店铺价值降级处理,促销、加预算、补货前先人工确认库存映射和可售数量。,打开库存映射对照工具，确认仓库 SKU、Wayfair SKU、可用量和在途量。,下次复盘看：是否仍出现缺货 SKU 投广告或进入促销。,库存映射对照工具,./Wayfair_库存映射对照工具_20260604.html,42.0
TASK-T2398P465983-INVENTORY-001,P2,待执行,库存,T2398P465983,PT01-BK,黑色压型对开门中储物柜,,,库存映射置信度为 低；综合经营优先级为 P2，按店铺价值降级处理,促销、加预算、补货前先人工确认库存映射和可售数量。,打开库存映射对照工具，确认仓库 SKU、Wayfair SKU、可用量和在途量。,下次复盘看：是否仍出现缺货 SKU 投广告或进入促销。,库存映射对照工具,./Wayfair_库存映射对照工具_20260604.html,42.0
TASK-T2398P465983-INVENTORY-001-02,P2,待执行,库存,T2398P465983,PT01-BK,黑色压型对开门中储物柜,,,库存映射置信度为 低；综合经营优先级为 P2，按店铺价值降级处理,促销、加预算、补货前先人工确认库存映射和可售数量。,打开库存映射对照工具，确认仓库 SKU、Wayfair SKU、可用量和在途量。,下次复盘看：是否仍出现缺货 SKU 投广告或进入促销。,库存映射对照工具,./Wayfair_库存映射对照工具_20260604.html,42.0
TASK-T2398P465983-INVENTORY-001-03,P2,待执行,库存,T2398P465983,PT01-BK,黑色压型对开门中储物柜,,,库存映射置信度为 低；综合经营优先级为 P2，按店铺价值降级处理,促销、加预算、补货前先人工确认库存映射和可售数量。,打开库存映射对照工具，确认仓库 SKU、Wayfair SKU、可用量和在途量。,下次复盘看：是否仍出现缺货 SKU 投广告或进入促销。,库存映射对照工具,./Wayfair_库存映射对照工具_20260604.html,42.0
TASK-T2398P465997-INVENTORY-001,P2,待执行,库存,T2398P465997,,黑色金属对开门4层板带轮工具柜,,,可用库存仅 0；综合经营优先级为 P2，按店铺价值降级处理,促销、加预算、补货前先人工确认库存映射和可售数量。,打开库存映射对照工具，确认仓库 SKU、Wayfair SKU、可用量和在途量。,下次复盘看：是否仍出现缺货 SKU 投广告或进入促销。,库存映射对照工具,./Wayfair_库存映射对照工具_20260604.html,42.0
TASK-TOOL-A01-PRICING-001,P2,待执行,定价,TOOL-A01,DMOM1072,套色压型-单节工具柜,N,新品不进大促,不建议提价：成交样本不足；平台空间偏低；综合经营优先级为 P2，按店铺价值降级处理,不要先提Base（平台空间率 15.0% 低于 16%）；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 15.0%→≥16%、Base/前台价 70%→≤72%、成交 0 单→先攒满3单再看毛利。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,42.0
TASK-TOOL-A02-PRICING-001,P2,待执行,定价,TOOL-A02,DMOM1070,套色压型-半对开门工具,N,新品不进大促,不建议提价：成交样本不足；平台空间偏低；综合经营优先级为 P2，按店铺价值降级处理,不要先提Base（平台空间率 14.9% 低于 16%）；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 14.9%→≥16%、Base/前台价 71%→≤72%、成交 0 单→先攒满3单再看毛利。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,42.0
TASK-TOOL-A03-PRICING-001,P2,待执行,定价,TOOL-A03,DMOM1062,套色压型-对开门工具柜,N,新品不进大促,不建议提价：成交样本不足；平台空间偏低；综合经营优先级为 P2，按店铺价值降级处理,不要先提Base（平台空间率 14.9% 低于 16%）；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 14.9%→≥16%、Base/前台价 71%→≤72%、成交 0 单→先攒满3单再看毛利。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,42.0
TASK-TOOL-A04-PRICING-001,P2,待执行,定价,TOOL-A04,DMOM1069,套色压型-对开门工具推车,N,新品不进大促,不建议提价：成交样本不足；平台空间偏低；综合经营优先级为 P2，按店铺价值降级处理,不要先提Base（平台空间率 14.9% 低于 16%）；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 14.9%→≥16%、Base/前台价 71%→≤72%、成交 0 单→先攒满3单再看毛利。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,42.0
TASK-TOOL-A05-PRICING-001,P2,待执行,定价,TOOL-A05,DMOM1067,套色压型-上一抽下对开工具推车,N,新品不进大促,不建议提价：成交样本不足；平台空间偏低；综合经营优先级为 P2，按店铺价值降级处理,不要先提Base（平台空间率 15.1% 低于 16%）；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 15.1%→≥16%、Base/前台价 72%→≤72%、成交 0 单→先攒满3单再看毛利。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,42.0
TASK-TOOL-A06-PRICING-001,P2,待执行,定价,TOOL-A06,DMOM1068,套色压型-三抽工具推车-,N,新品不进大促,不建议提价：成交样本不足；平台空间偏低；供货价竞争百分位偏高；综合经营优先级为 P2，按店铺价值降级处理,不要先提Base（供货价竞争分位 0.78 偏高、平台空间率 15.0% 低于 16%）；本SKU首要瓶颈是供货价（竞争分位 0.78）：优先谈拿货价或降包装/头程成本；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 15.0%→≥16%、Base/前台价 71%→≤72%、成交 0 单→先攒满3单再看毛利、供货价分位 0.78→≤0.70。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,42.0
TASK-TOOL-A07-PRICING-001,P2,待执行,定价,TOOL-A07,DMOM1074,套色压型-左四抽右单门工具推车,N,新品不进大促,不建议提价：成交样本不足；平台空间偏低；供货价竞争百分位偏高；综合经营优先级为 P2，按店铺价值降级处理,不要先提Base（供货价竞争分位 0.88 偏高、平台空间率 14.1% 低于 16%）；本SKU首要瓶颈是供货价（竞争分位 0.88）：优先谈拿货价或降包装/头程成本；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 14.1%→≥16%、Base/前台价 71%→≤72%、成交 0 单→先攒满3单再看毛利、供货价分位 0.88→≤0.70。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,42.0
TASK-TOOL-A08-PRICING-001,P2,待执行,定价,TOOL-A08,DMOM1077,套色压型-对开门工具柜(3隔板,N,新品不进大促,不建议提价：成交样本不足；平台空间偏低；综合经营优先级为 P2，按店铺价值降级处理,不要先提Base（平台空间率 14.2% 低于 16%）；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 14.2%→≥16%、Base/前台价 71%→≤72%、成交 0 单→先攒满3单再看毛利。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,42.0
TASK-TOOL-B01-PRICING-001,P2,待执行,定价,TOOL-B01,DMOM1072,黑色常规-单节工具柜,N,新品不进大促,不建议提价：成交样本不足；平台空间偏低；客诉退货竞争百分位偏高；综合经营优先级为 P2，按店铺价值降级处理,不要先提Base（平台空间率 15.1% 低于 16%）；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常；回看Customer Feedback/退货原因，修说明、包装或质量,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 15.1%→≥16%、Base/前台价 70%→≤72%、成交 0 单→先攒满3单再看毛利。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,42.0
TASK-TOOL-B02-PRICING-001,P2,待执行,定价,TOOL-B02,DMOM1070,半对开门工具柜-黑色,N,新品不进大促,不建议提价：成交样本不足；平台空间偏低；综合经营优先级为 P2，按店铺价值降级处理,不要先提Base（平台空间率 14.8% 低于 16%）；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 14.8%→≥16%、Base/前台价 71%→≤72%、成交 0 单→先攒满3单再看毛利。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,42.0
TASK-TOOL-B03-PRICING-001,P2,待执行,定价,TOOL-B03,DMOM1062,黑色常规-对开门工具柜,N,新品不进大促,不建议提价：成交样本不足；平台空间偏低；Base/前台价高于72%；综合经营优先级为 P2，按店铺价值降级处理,不要先提Base（Base/前台价 72% 超 72% 红线、平台空间率 14.8% 低于 16%）；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常；先拆供应商可控项：拿货、包装、头程/发货成本，再查平台扣项是否异常,打开产品定价体检表，展开该 SKU 的 Total Cost 明细，确认 Base、前台价、平台空间和你的成本。,下次复盘看：平台空间率 14.8%→≥16%、Base/前台价 72%→≤72%、成交 0 单→先攒满3单再看毛利。,产品定价体检表,./Wayfair_产品定价体检表_20260605.html,42.0
